Date,VNINDEX Rm,Rf
02/2019,0.06019875912809547,-0.02581438229870936
03/2019,0.015836846302836882,0.015352260778128457
04/2019,-0.0011419715322811275,-0.013256006628003303
05/2019,-0.020170674941815347,-0.013224181360201648
06/2019,-0.010355461099303964,-0.009997872793022666
07/2019,0.04391856327768062,-0.053717232488182165
08/2019,-0.007663917068350012,-0.05495004541326065
09/2019,0.012702477491209896,-0.025228255646323805
10/2019,0.00226780123625292,-0.10056692137047085
11/2019,-0.028103161730842485,-0.02219786242806243
12/2019,-0.010054081895441658,-0.0532511210762332
01/2020,-0.025359264924713076,-0.0654233274126702
02/2020,-0.058113215605047897,-0.09534368070953436
03/2020,-0.2489939808884708,0.2314425770308124
04/2020,0.16086818710096162,-0.13278362240545927
05/2020,0.12398746603216715,0.03147540983606567
